waypoint1	waypoint2	distance_m	duration_s
City of Manchester Stadium, Ashton New Road, Manchester	brighton community stadium, UK	440082	81058
brighton community stadium, UK	Sandy Park Stadium, Exeter	313295	62141
City of Manchester Stadium, Ashton New Road, Manchester	Millennium Stadium, Westgate Street, Cardiff	344109	64426
The Stadium, Queen Elizabeth Olympic Park	Sandy Park Stadium, Exeter	348798	65797
Wembley Stadium, Wembley	brighton community stadium, UK	123113	23805
Millennium Stadium, Westgate Street, Cardiff	Villa Park, Trinity Road, Birmingham	212485	41374
City of Manchester Stadium, Ashton New Road, Manchester	Sandy Park Stadium, Exeter	446561	83903
City of Manchester Stadium, Ashton New Road, Manchester	Twickenham Stadium, Whitton Road, Twickenham	347349	62989
Millennium Stadium, Westgate Street, Cardiff	King Power Stadium, Filbert Way, Leicester	258523	48586
brighton community stadium, UK	Stadium MK, Grafton Street, Bletchley	184675	34481
Twickenham Stadium, Whitton Road, Twickenham	Villa Park, Trinity Road, Birmingham	217804	39650
The Stadium, Queen Elizabeth Olympic Park	brighton community stadium, UK	106525	21436
Elland Road, UK	Wembley Stadium, Wembley	338592	65565
Stadium MK, Grafton Street, Bletchley	Sandy Park Stadium, Exeter	319797	61010
The Stadium, Queen Elizabeth Olympic Park	Villa Park, Trinity Road, Birmingham	234715	43644
St. James' Park, Barrack Road, Newcastle upon Tyne	Villa Park, Trinity Road, Birmingham	367929	69061
Elland Road, UK	Sandy Park Stadium, Exeter	503636	97543
Elland Road, UK	City of Manchester Stadium, Ashton New Road, Manchester	84192	16824
City of Manchester Stadium, Ashton New Road, Manchester	Kingsholm Stadium, Kingsholm Road, Gloucester	232568	43947
Wembley Stadium, Wembley	Sandy Park Stadium, Exeter	327375	62045
brighton community stadium, UK	Villa Park, Trinity Road, Birmingham	284582	54751
Wembley Stadium, Wembley	King Power Stadium, Filbert Way, Leicester	167065	31382
The Stadium, Queen Elizabeth Olympic Park	Stadium MK, Grafton Street, Bletchley	107250	20419
Stadium MK, Grafton Street, Bletchley	Villa Park, Trinity Road, Birmingham	127044	23239
